Date	Close	Open	High	Low	Volume
2011-03-18	80.53	81.42	81.49	80.1	3357634
2011-03-21	81.23	81.32	81.69	81.14	2278056
2011-03-22	81.3	81.38	81.67	81.01	1255357
2011-03-23	81.18	80.98	81.34	80.6	1758270
2011-03-24	80.8	81.64	81.75	80.6125	1983575
2011-03-25	80.37	81.1	81.18	80.34	1924049
2011-03-28	80.26	80.77	81.0	80.11	1330561
2011-03-29	80.35	80.24	80.57	79.57	1588024
2011-03-30	79.76	80.5	80.67	79.72	2277665
2011-03-31	80.4	79.84	80.68	79.78	2897363
2011-04-01	80.98	80.5	81.34	80.36	1545681
2011-04-04	80.99	80.75	81.24	80.5	1808841
2011-04-05	81.11	80.55	81.63	80.41	2007405
2011-04-06	81.49	81.11	81.745	80.85	1780146
2011-04-07	81.79	81.29	81.8	80.91	1677604
2011-04-08	80.5	81.8	81.92	80.2	1939484
2011-04-11	80.51	80.34	81.22	80.04	1823694
2011-04-12	80.37	80.52	80.52	80.02	1862017
2011-04-13	78.31	80.44	80.87	77.83	4251323
2011-04-14	77.73	77.87	78.54	75.81	3854881
2011-04-15	78.19	78.01	78.37	77.48	2518214
2011-04-18	76.9	77.46	77.53	76.54	2918575
2011-04-19	77.01	77.23	77.4999	76.82	1994364
2011-04-20	77.88	77.67	78.73	77.59	1979452
2011-04-21	77.78	77.86	78.06	77.61	1910899
2011-04-25	77.44	77.48	77.86	77.08	2458891
2011-04-26	79.04	77.97	79.61	77.84	3027921
2011-04-27	79.16	79.07	79.81	78.71	1728364
2011-04-28	79.06	79.19	79.325	78.49	2402679
2011-04-29	79.25	79.06	79.45	78.88	2078465
2011-05-02	78.74	79.35	79.9	78.54	3125427
2011-05-03	79.89	78.52	80.17	78.5	2288839
2011-05-04	78.91	79.92	80.35	78.78	4360548
2011-05-05	79.81	78.81	80.4	78.51	2298232
2011-05-06	79.95	80.47	80.8	79.58	2048951
2011-05-09	79.93	80.02	80.51	79.63	1706138
2011-05-10	79.45	80.24	80.46	79.42	2191400
2011-05-11	79.38	79.5	80.2	79.24	2275634
2011-05-12	80.07	79.33	80.36	79.25	1552084
2011-05-13	79.59	80.04	80.39	79.42	1670155
2011-05-16	80.34	79.39	80.52	79.27	2440052
2011-05-17	79.56	79.84	80.38	78.84	2008107
2011-05-18	80.01	79.59	80.17	79.13	1315332
2011-05-19	80.38	80.5	80.83	80.08	1047868
2011-05-20	79.75	80.37	80.37	79.527	1694439
2011-05-23	79.23	79.02	79.8	78.79	1833463
2011-05-24	78.6	79.16	79.33	78.51	2384783
2011-05-25	78.46	78.52	78.6	78.0	2329153
2011-05-26	77.74	78.35	78.68	77.54	2995415
2011-05-27	77.26	77.08	77.54	76.68	1796100
2011-05-31	77.9	77.27	78.11	77.27	2370294
2011-06-01	75.76	77.76	78.11	75.74	2613738
2011-06-02	75.73	75.78	76.39	75.68	2307136
2011-06-03	76.28	75.22	76.46	75.1	2560516
2011-06-06	77.38	76.2	77.6	76.1	3200626
2011-06-07	77.29	77.45	77.72	77.26	2279604
2011-06-08	77.12	77.22	77.75	77.02	2398784
2011-06-09	77.89	77.13	78.02	76.8	1896054
2011-06-10	77.3	77.65	78.01	77.21	2404861
2011-06-13	78.86	77.72	79.08	77.51	3047986
2011-06-14	79.64	79.39	80.0	79.11	2552018
2011-06-15	79.63	79.08	80.0	78.99	2217630
2011-06-16	79.91	79.57	80.35	79.3	2493014
2011-06-17	80.01	80.47	81.15	79.79	3136626
2011-06-20	80.34	79.72	80.83	79.72	4146210
2011-06-21	80.65	80.71	80.95	80.19	1863894
2011-06-22	80.01	80.64	80.941	79.95	1710009
2011-06-23	79.69	79.88	80.04	78.57	1811984
2011-06-24	79.2	79.78	79.81	79.12	1904940
2011-06-27	79.67	79.43	79.89	79.03	1192783
2011-06-28	79.44	79.79	79.84	79.24	1651701
2011-06-29	80.37	79.65	80.62	79.55	1630437
2011-06-30	80.97	80.4	81.27	80.09	1487229
2011-07-01	81.97	80.87	82.01	80.69	1200818
2011-07-05	80.97	81.63	81.63	80.64	1309085
